participant_no,avg_rwa,intro_elapse_t,test_elapse_t,survey_elapse_t,country_ip,education_level,urban_classification,gender,english_native,age,handedness,religion,sexual_preference,race,voted,married,family_size,survey_accurate,major
902,4.65,1,166,92,CA,university degree,urban,male,yes,25,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,political science
903,5.9,11,191,145,US,university degree,rural,female,yes,46,right,agnostic,heterosexual,white or indigenous australian or native american,yes,previously married,3,TRUE,psychology
904,4.55,23,378,343,GB,high school,rural,male,yes,31,right,agnostic,bisexual,white or indigenous australian or native american,no,never married,2,TRUE,electronic engineering
905,6.6,2,184,184,US,university degree,urban,male,yes,28,left,atheist,heterosexual,white or indigenous australian or native american,yes,never married,1,TRUE,art history
906,4.4,2,178,120,US,graduate degree,suburban,female,yes,33,right,agnostic,heterosexual,white or indigenous australian or native american,yes,currently married,3,TRUE,public administration
907,4.85,3,281,167,US,university degree,suburban,male,yes,35,left,atheist,heterosexual,white or indigenous australian or native american,yes,currently married,1,TRUE,industrial design
908,5.6,9,193,138,US,NA,rural,male,yes,61,right,christian (protestant),bisexual,white or indigenous australian or native american,yes,currently married,3,TRUE,history
909,3.35,303974,651,613,ID,university degree,urban,female,no,20,right,christian (catholic),heterosexual,asian,yes,never married,4,TRUE,informatics engineering
910,4.8,28,211,196,PL,less than high school,urban,male,no,17,right,agnostic,homosexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
911,4.6,2,148,103,PH,university degree,rural,female,no,20,right,christian (catholic),heterosexual,asian,yes,never married,9,TRUE,criminology
912,5.3,3,961,172,US,high school,urban,female,yes,24,right,christian (protestant),heterosexual,white or indigenous australian or native american,no,never married,0,TRUE,marketing
913,5.55,33,157,117,US,graduate degree,suburban,male,yes,23,right,christian (protestant),heterosexual,white or indigenous australian or native american,yes,never married,1,TRUE,law
914,3.75,66,279,197,NA,university degree,suburban,male,yes,35,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,3,TRUE,design
915,5.25,3533,114,212,US,high school,suburban,male,yes,21,right,atheist,other,white or indigenous australian or native american,yes,never married,2,TRUE,physics
916,4.9,2,221,154,RS,university degree,urban,male,no,41,right,christian (other),homosexual,white or indigenous australian or native american,yes,never married,2,TRUE,it
917,5.25,7,292,178,AU,university degree,suburban,male,yes,40,right,christian (catholic),heterosexual,other,no,never married,2,TRUE,political science
918,6.05,2,114,99,US,high school,urban,female,yes,16,right,christian (protestant),bisexual,white or indigenous australian or native american,no,never married,3,TRUE,comp sci
919,4.9,989,237,154,US,high school,rural,female,yes,46,right,other,heterosexual,white or indigenous australian or native american,yes,currently married,3,TRUE,NA
920,4.15,4,179,116,GB,university degree,suburban,male,yes,20,right,atheist,homosexual,white or indigenous australian or native american,yes,never married,2,TRUE,ir
921,4.6,7,154,128,NA,high school,suburban,male,yes,19,left,christian (protestant),heterosexual,white or indigenous australian or native american,no,never married,4,TRUE,biomedical engineering
922,3.6,3,198,151,NA,university degree,rural,female,no,18,right,agnostic,bisexual,asian,no,never married,3,TRUE,accounting
923,4.95,4,180,100,NA,high school,NA,male,yes,16,left,other,heterosexual,other,no,never married,0,TRUE,NA
924,5.25,35,211,121,NA,university degree,urban,male,no,25,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,1,TRUE,law
925,5.55,6,405,216,NA,university degree,suburban,male,yes,43,NA,other,heterosexual,white or indigenous australian or native american,no,currently married,1,TRUE,fine art
926,4.35,3,234,187,NA,university degree,suburban,male,yes,55,right,agnostic,heterosexual,white or indigenous australian or native american,yes,previously married,1,TRUE,engineering
927,5.2,9,137,104,NA,university degree,urban,male,yes,24,right,agnostic,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,english
928,2.65,8,208,89,US,high school,urban,male,yes,19,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,3,TRUE,economics
929,6.05,20,736,577,AU,high school,rural,male,no,38,right,christian (protestant),heterosexual,white or indigenous australian or native american,no,previously married,3,TRUE,NA
930,5,8,191,145,CA,graduate degree,urban,male,yes,40,right,christian (protestant),heterosexual,white or indigenous australian or native american,no,currently married,1,TRUE,sc
931,5.15,10,247,174,US,high school,suburban,female,yes,16,right,agnostic,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
932,5.15,134,170,183,US,high school,suburban,male,yes,22,right,atheist,homosexual,white or indigenous australian or native american,no,never married,1,TRUE,NA
933,4.85,5,211,163,US,less than high school,urban,male,yes,29,right,atheist,heterosexual,white or indigenous australian or native american,yes,currently married,2,TRUE,NA
934,5.05,29,519,193,US,high school,urban,female,yes,30,right,agnostic,asexual,white or indigenous australian or native american,no,never married,1,TRUE,NA
935,5.85,45,171,116,US,high school,suburban,male,yes,19,right,christian (protestant),heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,electrical engineering
936,4.3,40,371,247,AU,high school,urban,female,yes,19,right,atheist,asexual,white or indigenous australian or native american,yes,never married,1,TRUE,music technology
937,5.15,7,173,171,CA,university degree,urban,male,no,25,left,atheist,other,asian,no,never married,2,TRUE,NA
938,5,4,71,95,US,graduate degree,suburban,female,yes,33,right,other,heterosexual,white or indigenous australian or native american,no,never married,1,TRUE,information science
939,5.2,24,232,204,US,high school,suburban,male,yes,55,right,other,heterosexual,white or indigenous australian or native american,yes,currently married,5,TRUE,NA
940,4.4,20,179,95,US,high school,suburban,female,yes,16,right,agnostic,heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,NA
941,5.25,8,223,151,US,high school,suburban,male,yes,29,right,christian (catholic),heterosexual,white or indigenous australian or native american,no,previously married,2,TRUE,NA
942,4.8,6,157,108,US,high school,urban,female,yes,19,right,agnostic,bisexual,other,no,never married,4,TRUE,NA
943,3.5,15,3473,2502,GB,university degree,rural,female,yes,45,right,other,heterosexual,white or indigenous australian or native american,no,previously married,1,TRUE,marine biology/oceanography
944,5.3,11,133,101,US,graduate degree,suburban,male,yes,34,left,agnostic,heterosexual,white or indigenous australian or native american,no,previously married,2,TRUE,computer science
945,4.55,2,164,126,AU,high school,suburban,female,yes,28,right,atheist,bisexual,white or indigenous australian or native american,yes,never married,2,TRUE,english
946,5.2,7,146,136,AU,less than high school,suburban,male,yes,17,right,christian (other),heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,history
947,4.95,21,429,200,GB,university degree,suburban,male,yes,21,left,agnostic,homosexual,white or indigenous australian or native american,yes,never married,2,TRUE,music
948,4.8,2,339,95,AU,graduate degree,rural,male,yes,37,right,atheist,heterosexual,white or indigenous australian or native american,yes,previously married,0,TRUE,physics
949,4.55,12,137,100,JP,high school,suburban,other,no,20,right,agnostic,other,white or indigenous australian or native american,yes,never married,2,TRUE,modern languages
950,5.05,19,150,143,US,university degree,suburban,male,yes,24,right,atheist,heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,mechanical engineering
951,5.2,557,128,94,TW,graduate degree,urban,male,yes,35,right,christian (protestant),heterosexual,white or indigenous australian or native american,yes,never married,4,TRUE,hisotry
952,4.25,8,236,136,US,high school,suburban,female,yes,16,both,christian (catholic),heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
953,5,6,106,117,GB,graduate degree,suburban,male,yes,33,right,atheist,heterosexual,white or indigenous australian or native american,yes,previously married,3,TRUE,philosophy
954,5.6,22,434,163,IT,university degree,urban,male,no,25,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,1,TRUE,maths
955,5.1,7,254,172,US,graduate degree,rural,male,yes,48,right,agnostic,homosexual,white or indigenous australian or native american,yes,currently married,2,TRUE,environmental biology
956,4.8,135,225,226,GB,high school,rural,male,yes,44,right,atheist,heterosexual,white or indigenous australian or native american,yes,currently married,1,TRUE,NA
957,3.3,3,163,168,US,graduate degree,urban,female,yes,55,right,christian (protestant),heterosexual,white or indigenous australian or native american,no,currently married,3,TRUE,jounalism english spec ed
958,6,4,218,170,US,high school,suburban,male,yes,28,right,christian (other),heterosexual,other,yes,currently married,7,TRUE,NA
959,4.85,8,232,160,US,high school,suburban,female,yes,18,right,christian (catholic),bisexual,white or indigenous australian or native american,yes,never married,2,TRUE,NA
960,4.4,16,214,166,US,university degree,suburban,female,yes,21,right,agnostic,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,accounting
961,5.5,496,83,80,US,high school,rural,male,yes,48,right,christian (protestant),heterosexual,white or indigenous australian or native american,yes,currently married,2,TRUE,NA
962,3.6,13,160,162,GB,university degree,suburban,female,yes,53,right,christian (other),heterosexual,white or indigenous australian or native american,yes,currently married,9,TRUE,business
963,4.3,3,203,151,IM,high school,urban,male,yes,49,right,christian (protestant),heterosexual,white or indigenous australian or native american,yes,currently married,3,TRUE,NA
964,5.2,7,489,211,US,university degree,suburban,male,yes,36,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,environmental science
965,5,14,204,174,US,university degree,suburban,female,yes,35,left,atheist,homosexual,white or indigenous australian or native american,yes,currently married,2,TRUE,science
966,5.25,6,133,111,BR,less than high school,rural,male,no,18,right,agnostic,heterosexual,white or indigenous australian or native american,no,never married,4,TRUE,NA
967,5.4,17,132,100,US,university degree,urban,male,yes,36,right,atheist,heterosexual,white or indigenous australian or native american,yes,currently married,2,TRUE,computer science
968,5,2,810,513,US,university degree,rural,female,yes,23,right,atheist,bisexual,white or indigenous australian or native american,yes,currently married,4,TRUE,physics
969,4.75,284,129,325,US,graduate degree,suburban,female,yes,40,right,other,other,white or indigenous australian or native american,yes,never married,2,TRUE,english and env science
970,5.25,3,38056,143,US,graduate degree,suburban,female,yes,66,right,agnostic,heterosexual,white or indigenous australian or native american,yes,currently married,3,TRUE,english
971,5.1,26,262,205,US,high school,rural,female,yes,35,right,other,heterosexual,white or indigenous australian or native american,no,currently married,3,TRUE,NA
972,4.85,26,278,185,US,graduate degree,rural,male,yes,69,right,agnostic,heterosexual,white or indigenous australian or native american,yes,currently married,4,TRUE,geology
973,5.35,2,202,173,US,university degree,suburban,male,yes,20,right,christian (protestant),heterosexual,white or indigenous australian or native american,yes,never married,4,TRUE,mechanical engineering
974,6,6,291,152,US,high school,rural,male,yes,17,right,christian (protestant),heterosexual,white or indigenous australian or native american,no,never married,4,TRUE,NA
975,4.7,22,138,103,ES,university degree,urban,male,no,25,right,christian (catholic),heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,engineering
976,3.55,16,140,87,US,university degree,rural,male,yes,24,right,atheist,heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,comp science
977,5.55,170,139,117,US,high school,suburban,male,yes,18,right,christian (protestant),bisexual,white or indigenous australian or native american,no,never married,2,TRUE,not yet
978,4.9,29,386,400,US,graduate degree,urban,male,yes,76,right,christian (catholic),heterosexual,white or indigenous australian or native american,yes,currently married,3,TRUE,law
979,3.9,2,233,162,US,university degree,rural,female,yes,43,right,christian (protestant),heterosexual,white or indigenous australian or native american,yes,never married,3,TRUE,psychology/sociology
980,5.1,2,138,85,US,graduate degree,suburban,male,yes,24,right,hindu,heterosexual,asian,yes,never married,2,TRUE,computer science
981,4.75,29,434,224,DE,high school,suburban,male,no,52,right,agnostic,bisexual,white or indigenous australian or native american,no,never married,1,TRUE,architecture
982,4.9,33746,213,164,DE,high school,suburban,female,no,29,right,other,bisexual,white or indigenous australian or native american,yes,previously married,3,TRUE,NA
983,4.7,3,168,109,HU,graduate degree,urban,male,no,46,right,atheist,heterosexual,white or indigenous australian or native american,yes,currently married,4,TRUE,english
984,6.05,1,111,89,US,less than high school,rural,male,yes,16,right,christian (protestant),other,white or indigenous australian or native american,no,never married,3,TRUE,NA
985,5,14,206,214,US,university degree,suburban,male,yes,62,right,atheist,heterosexual,white or indigenous australian or native american,yes,currently married,5,TRUE,software engineering
986,3.65,7,246,160,GB,high school,rural,male,yes,35,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,NA
987,4.8,4,150,240,BR,high school,suburban,male,no,18,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,production engineering
988,4.7,3,294,183,US,high school,urban,male,yes,26,right,christian (protestant),heterosexual,NA,no,never married,2,TRUE,NA
989,4.35,2,233,203,US,high school,suburban,female,yes,28,right,agnostic,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
990,4.9,6,142,117,PL,NA,suburban,female,no,30,right,agnostic,other,white or indigenous australian or native american,yes,currently married,2,TRUE,anthropology
991,5.25,4,104,109,GB,university degree,suburban,female,yes,30,left,agnostic,heterosexual,white or indigenous australian or native american,yes,never married,3,TRUE,english
992,5,2104,213,134,AU,high school,rural,male,yes,18,both,atheist,bisexual,white or indigenous australian or native american,no,never married,5,TRUE,NA
993,4.45,2,363,376,TR,high school,urban,male,yes,18,both,agnostic,asexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
994,5,73,154,185,US,graduate degree,suburban,female,yes,63,right,jewish,heterosexual,white or indigenous australian or native american,yes,currently married,2,TRUE,french
995,4.7,5,196,228,US,graduate degree,suburban,female,yes,68,right,jewish,heterosexual,white or indigenous australian or native american,no,currently married,2,TRUE,biology
996,4.75,3,644,202,US,university degree,rural,male,yes,48,left,atheist,heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,television
997,4.9,3,111,106,US,high school,suburban,male,yes,19,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,1,TRUE,public administration
998,5.2,20,147,123,BR,university degree,urban,male,no,39,right,other,heterosexual,white or indigenous australian or native american,yes,currently married,2,TRUE,computer science
999,5.6,33,379,196,RS,NA,urban,female,no,26,right,atheist,bisexual,white or indigenous australian or native american,no,never married,2,TRUE,linguistics
1000,5.35,4,169,355,US,graduate degree,urban,female,yes,75,left,other,homosexual,white or indigenous australian or native american,yes,currently married,4,TRUE,zoology
1001,5.5,4,191,110,US,university degree,suburban,male,yes,35,right,atheist,heterosexual,white or indigenous australian or native american,yes,currently married,2,TRUE,information technology
1002,5.2,3,178,177,US,less than high school,rural,male,yes,15,left,agnostic,other,white or indigenous australian or native american,no,never married,2,TRUE,NA
1003,4.15,10,434,208,IN,university degree,urban,female,yes,29,right,hindu,heterosexual,asian,yes,previously married,3,TRUE,commerce
1004,5.2,3,203,138,FI,university degree,suburban,male,no,40,right,agnostic,bisexual,white or indigenous australian or native american,no,never married,1,TRUE,engineering
1005,4.95,34,342,183,NA,university degree,suburban,male,yes,31,right,atheist,heterosexual,white or indigenous australian or native american,yes,currently married,3,TRUE,food science
1006,4.65,2,242,201,US,high school,suburban,male,yes,18,right,jewish,asexual,white or indigenous australian or native american,no,NA,1,TRUE,NA
1007,5,52,143,119,US,university degree,urban,male,yes,35,both,buddhist,asexual,other,yes,never married,5,TRUE,electronics
1008,4.7,18,724,142,US,university degree,rural,male,yes,32,right,other,heterosexual,arab,yes,never married,1,TRUE,political science
1009,4.8,4,254,134,US,university degree,suburban,male,yes,65,right,agnostic,heterosexual,white or indigenous australian or native american,no,currently married,3,TRUE,history
1010,4.9,6,133,100,RO,university degree,urban,female,no,44,right,agnostic,heterosexual,white or indigenous australian or native american,yes,previously married,1,TRUE,engineering
1011,4.7,6,222,176,US,high school,urban,female,yes,26,right,other,other,white or indigenous australian or native american,yes,never married,1,TRUE,"""computer information systems"""
1012,5.3,38,317,423,US,graduate degree,suburban,female,yes,46,right,christian (catholic),heterosexual,white or indigenous australian or native american,yes,currently married,3,TRUE,literature
1013,3.5,23,373,219,US,less than high school,suburban,male,yes,16,right,atheist,heterosexual,white or indigenous australian or native american,no,never married,0,TRUE,NA
1014,4.9,13,110,128,US,less than high school,urban,male,yes,25,left,christian (catholic),heterosexual,other,no,never married,3,TRUE,NA
1015,3.75,23,1081,208,PH,high school,urban,male,no,16,right,agnostic,heterosexual,asian,no,never married,2,TRUE,physics
1016,4.4,26,182,209,NA,high school,urban,male,no,49,right,agnostic,heterosexual,white or indigenous australian or native american,yes,currently married,1,TRUE,NA
1017,4.75,36,373,351,PL,high school,rural,male,no,17,right,christian (catholic),heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,history
1018,4.4,6,361,264,US,graduate degree,urban,female,yes,56,left,other,heterosexual,white or indigenous australian or native american,yes,currently married,5,TRUE,criminal justice
1019,5.25,12,128,94,US,graduate degree,urban,male,yes,30,right,atheist,bisexual,white or indigenous australian or native american,no,never married,4,TRUE,journalism
1020,4.75,139,364,356,IT,high school,rural,female,no,23,right,agnostic,bisexual,NA,yes,never married,2,TRUE,NA
1021,5,94,137,127,ES,high school,urban,other,no,24,left,atheist,asexual,white or indigenous australian or native american,yes,never married,1,TRUE,NA
1022,5.1,318,152,111,CL,high school,urban,female,no,20,right,agnostic,other,other,no,never married,2,TRUE,NA
1023,5.65,3,189,133,BR,high school,urban,male,no,18,right,agnostic,bisexual,white or indigenous australian or native american,yes,never married,1,TRUE,international relations
1024,5.4,4,175,332,AT,university degree,urban,female,no,26,right,atheist,bisexual,white or indigenous australian or native american,no,never married,1,TRUE,english
1025,2.85,109,517,325,US,university degree,rural,male,yes,65,right,christian (protestant),homosexual,white or indigenous australian or native american,yes,previously married,2,TRUE,spanish
1026,4.7,3,265,139,HK,university degree,suburban,female,yes,19,right,agnostic,heterosexual,asian,no,never married,2,TRUE,english and education
1027,5.3,4,182,104,US,high school,suburban,male,yes,18,right,agnostic,bisexual,white or indigenous australian or native american,no,never married,4,TRUE,n/a
1028,5.15,9,379,317,US,graduate degree,urban,male,yes,70,right,agnostic,heterosexual,white or indigenous australian or native american,NA,currently married,2,TRUE,law
1029,5.5,19,86,79,US,high school,suburban,male,yes,20,right,atheist,heterosexual,white or indigenous australian or native american,no,never married,1,TRUE,NA
1030,4.8,783,293,10,PL,university degree,suburban,female,yes,26,right,agnostic,heterosexual,white or indigenous australian or native american,yes,never married,5,TRUE,social science
1031,5,14,132,326,AR,less than high school,urban,male,no,16,left,atheist,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
1032,4.65,376,251,168,AR,high school,urban,female,no,44,right,agnostic,heterosexual,other,yes,previously married,2,TRUE,NA
1033,4.9,5,204,132,CA,graduate degree,urban,male,no,26,right,atheist,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,geography
1034,3.9,11,119,107,CA,university degree,urban,male,yes,18,right,other,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,politics
1035,5.2,1697,633,284,SA,graduate degree,rural,female,no,57,right,muslim,other,asian,yes,previously married,0,TRUE,psychology
1036,5.1,685,165,89,US,high school,suburban,female,yes,20,right,christian (protestant),heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,linguistics
1037,5.25,2,580,297,SE,high school,urban,male,no,24,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,NA
1038,5.35,3,217,209,DE,university degree,rural,male,yes,37,right,NA,NA,NA,no,currently married,3,TRUE,international politics
1039,6.3,1,309,120,US,high school,suburban,male,yes,28,right,christian (other),heterosexual,black,no,never married,8,TRUE,NA
1040,5.35,8,292,193,NL,university degree,urban,male,no,22,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,history
1041,4.95,39,446,135,IT,high school,suburban,female,no,16,right,agnostic,bisexual,white or indigenous australian or native american,no,never married,1,TRUE,NA
1042,5.35,3,373,153,GB,university degree,suburban,male,yes,26,left,atheist,heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,humanities
1043,5,19,142,103,GB,university degree,suburban,female,yes,20,right,agnostic,heterosexual,white or indigenous australian or native american,yes,never married,4,TRUE,politics
1044,5.45,1,202,288,US,less than high school,suburban,male,yes,16,right,jewish,bisexual,white or indigenous australian or native american,no,never married,4,TRUE,NA
1045,5.2,6,235,289,US,university degree,urban,female,yes,45,right,christian (catholic),heterosexual,white or indigenous australian or native american,yes,never married,4,TRUE,journalism
1046,6.45,31,214,152,US,university degree,suburban,male,yes,51,left,atheist,heterosexual,white or indigenous australian or native american,no,currently married,4,TRUE,computer science
1047,5.15,4,284,218,PT,graduate degree,urban,male,no,24,right,christian (catholic),bisexual,white or indigenous australian or native american,yes,never married,3,TRUE,history
1048,5.2,550,263,199,IE,university degree,rural,female,yes,22,right,christian (catholic),heterosexual,white or indigenous australian or native american,no,never married,5,TRUE,public health
1049,5.2,1,131,86,AT,university degree,rural,male,no,21,right,christian (catholic),heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,law
1050,4.8,359,167,113,IN,university degree,suburban,female,no,20,right,hindu,heterosexual,asian,yes,never married,2,TRUE,law
1051,5.55,6,157,127,GB,high school,rural,other,yes,18,right,agnostic,homosexual,white or indigenous australian or native american,yes,never married,2,TRUE,NA
1052,6.05,405,159,129,NZ,university degree,rural,male,yes,28,right,christian (protestant),heterosexual,other,no,never married,2,TRUE,biochemistry
1053,4.3,65,376,146,US,less than high school,suburban,male,yes,18,right,christian (protestant),heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,NA
1054,5,8,252,162,IE,graduate degree,suburban,female,yes,31,right,christian (catholic),heterosexual,white or indigenous australian or native american,yes,never married,4,TRUE,NA
1055,4.8,12,786,114,US,high school,suburban,male,yes,17,right,christian (protestant),heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
1056,5.2,433,135,90,US,high school,suburban,female,yes,19,right,atheist,homosexual,white or indigenous australian or native american,no,never married,2,TRUE,fine art
1057,5.3,11,122,114,GB,less than high school,urban,female,yes,16,right,atheist,heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,NA
1058,3.7,2,261,203,MX,less than high school,urban,male,yes,48,right,sikh,heterosexual,other,no,currently married,4,TRUE,nil
1059,6.4,9,202,145,US,high school,suburban,male,yes,18,right,atheist,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
1060,5.05,33,190,117,UY,high school,urban,male,no,22,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,NA
1061,3.75,6,327,230,GR,university degree,suburban,male,no,30,left,other,heterosexual,white or indigenous australian or native american,yes,currently married,2,TRUE,touristic buisness
1062,4.9,25,242,275,US,high school,urban,male,yes,41,right,christian (other),heterosexual,white or indigenous australian or native american,no,currently married,2,TRUE,history
1063,5.85,4,211,150,US,university degree,suburban,female,yes,52,right,christian (other),heterosexual,white or indigenous australian or native american,yes,currently married,2,TRUE,art history
1064,4.3,22,314,388,US,high school,suburban,male,yes,19,right,agnostic,heterosexual,white or indigenous australian or native american,no,never married,6,TRUE,n/a
1065,4.65,30,176,210,US,high school,rural,female,yes,41,both,other,asexual,white or indigenous australian or native american,yes,currently married,3,TRUE,"journalism, photography, psychology, theater,"
1066,4.9,6,124,125,GB,high school,urban,male,yes,18,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,1,TRUE,NA
1067,4.9,88,1085,528,US,graduate degree,suburban,male,yes,31,left,agnostic,heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,psychology
1068,5.15,20347,380,108,US,university degree,suburban,female,yes,20,right,atheist,asexual,white or indigenous australian or native american,yes,never married,2,TRUE,physics
1069,5.45,3,167,132,GB,high school,suburban,male,yes,17,left,christian (protestant),heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
1070,6.75,4,183,179,PT,university degree,rural,male,no,34,right,christian (other),heterosexual,white or indigenous australian or native american,yes,never married,4,TRUE,bussiness
1071,4.6,13,109,89,US,high school,suburban,male,yes,21,right,christian (catholic),asexual,white or indigenous australian or native american,yes,never married,5,TRUE,history
1072,4.3,3,203,158,US,university degree,suburban,female,yes,48,left,agnostic,heterosexual,white or indigenous australian or native american,no,currently married,2,TRUE,political science
1073,5.4,4,222,217,US,university degree,rural,female,yes,27,right,christian (catholic),homosexual,white or indigenous australian or native american,yes,never married,11,TRUE,computer science
1074,5.1,21,307,332,US,university degree,suburban,male,yes,38,right,agnostic,heterosexual,white or indigenous australian or native american,yes,currently married,6,TRUE,economics
1075,6.6,75,298,211,US,university degree,suburban,female,yes,50,left,christian (protestant),heterosexual,white or indigenous australian or native american,yes,currently married,2,TRUE,english
1076,4.35,734,172,137,AR,graduate degree,suburban,male,no,30,right,christian (protestant),heterosexual,white or indigenous australian or native american,yes,never married,6,TRUE,political science
1077,4.65,4,292,316,US,university degree,rural,female,yes,30,left,other,bisexual,white or indigenous australian or native american,no,never married,1,TRUE,psychology
1078,4.7,19,297,184,NZ,less than high school,suburban,male,yes,24,right,other,heterosexual,asian,no,never married,3,TRUE,NA
1079,5,1386,1049,261,NA,less than high school,suburban,female,no,16,right,other,bisexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
1080,3.9,650,165,144,NA,high school,urban,female,yes,16,left,agnostic,bisexual,asian,no,never married,2,TRUE,NA
1081,5.25,828,153,111,US,high school,suburban,male,yes,18,right,christian (protestant),heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
1082,5,3,123,124,CA,less than high school,suburban,female,no,16,right,agnostic,other,white or indigenous australian or native american,no,never married,3,TRUE,NA
1083,6.2,3,149,140,US,less than high school,urban,male,yes,43,right,christian (catholic),bisexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
1084,5,28,195,186,US,university degree,rural,male,yes,50,left,atheist,heterosexual,white or indigenous australian or native american,no,previously married,3,TRUE,economics
1085,5.45,6,589,11,US,university degree,suburban,male,yes,41,right,agnostic,heterosexual,other,yes,never married,1,TRUE,motion pictures
1086,5.2,4,153,165,US,university degree,suburban,female,yes,43,right,atheist,heterosexual,white or indigenous australian or native american,yes,previously married,3,TRUE,english/advertising
1087,4.65,7,134,149,US,graduate degree,suburban,female,yes,40,right,atheist,heterosexual,white or indigenous australian or native american,yes,currently married,3,TRUE,physical therapy
1088,4.65,54,335,180,ID,high school,rural,male,no,17,both,christian (protestant),heterosexual,asian,no,never married,2,TRUE,architecture
1089,5.05,13,115,110,GB,high school,suburban,female,yes,18,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,NA
1090,4.55,4,311,186,US,less than high school,suburban,female,yes,13,right,atheist,other,white or indigenous australian or native american,no,never married,2,TRUE,NA
1091,5.15,50,249,175,US,high school,rural,female,yes,17,left,agnostic,bisexual,white or indigenous australian or native american,no,never married,3,TRUE,NA
1092,4.75,2,141,133,US,university degree,suburban,male,yes,23,right,other,bisexual,white or indigenous australian or native american,no,never married,2,TRUE,communication studies
1093,5.25,5,261,190,GB,high school,urban,female,yes,16,right,christian (protestant),heterosexual,white or indigenous australian or native american,no,never married,4,TRUE,NA
1094,4.2,62,336,159,NO,high school,suburban,female,no,22,right,atheist,bisexual,white or indigenous australian or native american,no,previously married,1,TRUE,NA
1095,5,7,75,91,US,university degree,urban,male,yes,54,left,agnostic,bisexual,white or indigenous australian or native american,no,currently married,3,TRUE,maths
1096,5.7,6,189,186,US,high school,rural,male,yes,18,right,christian (protestant),heterosexual,NA,no,never married,2,TRUE,NA
1097,4.7,10,478,173,CA,high school,suburban,male,yes,18,right,agnostic,homosexual,asian,no,never married,4,TRUE,NA
1098,4.8,12,239,178,ID,less than high school,urban,male,no,13,right,muslim,heterosexual,asian,no,never married,4,TRUE,NA
1099,5.05,2,307,242,US,university degree,rural,female,yes,50,right,other,heterosexual,white or indigenous australian or native american,yes,currently married,2,TRUE,NA
1100,4.35,12,248,187,PT,university degree,rural,male,no,33,right,agnostic,heterosexual,white or indigenous australian or native american,yes,never married,0,TRUE,history
1101,4.7,6,123,111,US,high school,suburban,male,yes,32,right,atheist,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,history
1102,4.35,923,155,95,GB,high school,suburban,male,yes,17,right,atheist,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
1103,5,2,154,122,GB,high school,rural,male,yes,17,right,atheist,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
1104,4.5,40,331,194,NA,high school,suburban,male,yes,21,left,christian (catholic),heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
